x,t=3.60e+02s,t=7.20e+02s,t=3.60e+03s,t=2.16e+04s
2.044088176352705228e-04,2.045288519794931018e+24,2.141208353393770267e+24,2.222209669794325678e+24,2.230061606638318200e+24
2.124248496993987978e-04,2.037397368898158955e+24,2.137034543317935727e+24,2.221189414928637428e+24,2.229348564543153772e+24
2.084168336673346603e-04,2.041341986209855485e+24,2.139121114023274402e+24,2.221699532369051295e+24,2.229705085588191083e+24
2.164328657314629081e-04,2.033454704190267020e+24,2.134948654004285922e+24,2.220679317856370450e+24,2.228992043503292969e+24
2.124248496993987978e-04,2.037397368898157613e+24,2.137034543317934653e+24,2.221189414928635818e+24,2.229348564543151356e+24
2.204408817635270456e-04,2.029514028386993891e+24,2.132863458801314167e+24,2.220169241535483312e+24,2.228635522468714708e+24
2.164328657314629081e-04,2.033454704190267020e+24,2.134948654004286458e+24,2.220679317856370987e+24,2.228992043503293238e+24
2.244488977955911831e-04,2.025575377759000689e+24,2.130778970420317088e+24,2.219659186349148033e+24,2.228279001439512673e+24
2.204408817635270456e-04,2.029514028386993891e+24,2.132863458801313630e+24,2.220169241535483312e+24,2.228635522468714977e+24
2.284569138276552934e-04,2.021638788546249722e+24,2.128695201564767222e+24,2.219149152680469521e+24,2.227922480415785915e+24
2.244488977955911831e-04,2.025575377758999884e+24,2.130778970420315746e+24,2.219659186349146691e+24,2.228279001439511599e+24
2.324649298597194309e-04,2.017704296957468954e+24,2.126612164930170748e+24,2.218639140912499803e+24,2.227565959397631609e+24
2.284569138276552934e-04,2.021638788546248917e+24,2.128695201564767222e+24,2.219149152680469789e+24,2.227922480415786184e+24
2.364729458917835684e-04,2.013771939169599293e+24,2.124529873203924140e+24,2.218129151428218965e+24,2.227209438385147465e+24
2.324649298597194309e-04,2.017704296957467880e+24,2.126612164930169943e+24,2.218639140912499266e+24,2.227565959397631341e+24
2.404809619238476787e-04,2.009841751327270880e+24,2.122448339065172973e+24,2.217619184610545622e+24,2.226852917378429047e+24
2.364729458917835684e-04,2.013771939169599293e+24,2.124529873203921724e+24,2.218129151428217891e+24,2.227209438385146929e+24
2.444889779559118433e-04,2.005913769542246885e+24,2.120367575184683339e+24,2.217109240842337722e+24,2.226496396377577822e+24
2.404809619238476787e-04,2.009841751327270075e+24,2.122448339065173241e+24,2.217619184610546159e+24,2.226852917378429852e+24
2.484969939879759265e-04,2.001988029892896840e+24,2.118287594224686962e+24,2.216599320506374830e+24,2.226139875382687743e+24
2.444889779559118433e-04,2.005913769542247422e+24,2.120367575184684681e+24,2.217109240842336917e+24,2.226496396377577553e+24
2.525050100200400640e-04,1.998064568423654665e+24,2.116208408838752619e+24,2.216089423985379067e+24,2.225783354393856789e+24
